"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo","kod_sdmx"
"CS","LSTOBC",3228,"124268","Kanada a Gruzie","Kanada a Gruzie","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"124340","Kanada a Honduras","Kanada a Honduras","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"124356","Kanada a Indie","Kanada a Indie","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"124364","Kanada a Írán (islámská republika)","Kanada a Írán (islámská republika)","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"124368","Kanada a Irák","Kanada a Irák","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"124376","Kanada a Izrael","Kanada a Izrael","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"124760","Kanada a Syrská arabská republika","Kanada a Syrská arabská republika","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"1248","Česká republika a Maďarsko","Česká republika a Maďarská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"124840","Kanada a Spojené státy","Kanada a Spojené státy","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"1252","Česká republika a Island","Česká republika a Islandská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1256","Česká republika a Indie","Česká republika a Indická republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1260","Česká republika a Indonésie","Česká republika a Indonéská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1264","Česká republika a Írán","Česká republika a Íránská islámská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1268","Česká republika a Irák","Česká republika a Irácká republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1272","Česká republika a Irsko","Česká republika a Irsko","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1276","Česká republika a Izrael","Česká republika a Stát Izrael","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1280","Česká republika a Itálie","Česká republika a Italská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1284","Česká republika a Pobřeží Slonoviny","Česká republika a Republika Pobřeží Slonoviny","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1288","Česká republika a Jamajka","Česká republika a Jamajka","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1292","Česká republika a Japonsko","Česká republika a Japonsko","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1298","Česká republika a Kazachstán","Česká republika a Republika Kazachstán","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1300","Česká republika a Jordánsko","Česká republika a Jordánské hášimovské království","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1304","Česká republika a Keňa","Česká republika a Keňa","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1308","Česká republika a Korea, lidově dem. rep.","Česká republika a Korejská lidově demokratická republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1310","Česká republika a Korejská republika","Česká republika a Korejská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1314","Česká republika a Kuvajt","Česká republika a Stát Kuvajt","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1317","Česká republika a Kyrgyzstán","Česká republika a Kyrgyzská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1318","Česká republika a Laos","Česká republika a Laoská lidově demokratická republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"132","Kapverdy","Kapverdská republika","2009-01-01","9999-09-09","CV"
"CS","LSTOBC",3228,"1322","Česká republika a Libanon","Česká republika a Libanonská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1326","Česká republika a Lesotho","Česká republika a Království Lesotho","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1328","Česká republika a Lotyšsko","Česká republika a Lotyšská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"132840","Kapverdy a Spojené státy","Kapverdy a Spojené státy","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"1330","Česká republika a Libérie","Česká republika a Liberijská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1334","Česká republika a Libye","Česká republika a Velká libyjská arabská lidová socialistická džamáhírije","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1338","Česká republika a Lichtenštejnsko","Česká republika a Lichtenštejnské knížectví","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1340","Česká republika a Litva","Česká republika a Litevská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1342","Česká republika a Lucembursko","Česká republika a Lucemburské velkovévodství","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1350","Česká republika a Madagaskar","Česká republika a Madagaskarská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1354","Česká republika a Malawi","Česká republika a Republika Malawi","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1358","Česká republika a Malajsie","Česká republika a Malajsie","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"136","Kajmanské ostrovy","Kajmanské ostrovy","2009-01-01","9999-09-09","KY"
"CS","LSTOBC",3228,"1362","Česká republika a Maledivy","Česká republika a Maledivská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1366","Česká republika a Mali","Česká republika a Republika Mali","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1370","Česká republika a Malta","Česká republika a Maltská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1378","Česká republika a Mauritánie","Česká republika a Mauritánská islámská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1380","Česká republika a Mauricius","Česká republika a Mauricijská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1384","Česká republika a Mexiko","Česká republika a Spojené státy mexické","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1392","Česká republika a Monako","Česká republika a Monacké knížectví","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1396","Česká republika a Mongolsko","Česká republika a Mongolsko","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1398","Česká republika a Moldavská republika","Česká republika a Moldavská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1399","Česká republika a Černá Hora","Česká republika a Republika Černá Hora","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"140","Středoafrická republika","Středoafrická republika","2009-01-01","9999-09-09","CF"
"CS","LSTOBC",3228,"1400","Česká republika a Montserrat","Česká republika a Montserrat","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1404","Česká republika a Maroko","Česká republika a Marocké království","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1408","Česká republika a Mosambik","Česká republika a Mosambická republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1412","Česká republika a Omán","Česká republika a Sultanát Omán","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1416","Česká republika a Namibie","Česká republika a Namibijská republika","2009-01-01","9999-09-09","NAT"
